EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE
NONCD0002814,HANCOCK COUNTRY HAMS,3484 NC HWY 22 N,FRANKLINVILLE,RANDOLPH,35.780278,-79.694444
NONCD0002815,CAROLINA CHEMICAL CORP (FORMER),6600 WARD BLVD,WILSON,WILSON,35.70812,-77.90947
NONCD0002816,RADCLIFFE MARINE (PRIVATEER BOATS),HWY 264 BYPASS N,BELHAVEN,BEAUFORT,35.553055,-76.626944
NONCD0002818,DUPONT-KENTEC,BRAXTON RD (SR 1802),GRIFTON,LENOIR,35.34332,-77.46632
NONCD0002820,MELATEX INC (FORMER MELODY CHEMICALS),3818 NORTHMORE ST,CHARLOTTE,MECKLENBURG,35.24889,-80.79222
NONCD0002821,COMPLETE AUTO CENTER,909 CAPITAL BLVD,RALEIGH,WAKE,35.79441,-78.64168
NONCD0002822,GRAY & CREECH (FRMR),8024 GLENWOOD AVE,RALEIGH,WAKE,35.87422,-78.72681
NONCD0002823,STOGNER RESIDENCE,8500 FLOWE'S ST,CONCORD,CABARRUS,35.29954,-80.55755
NONCD0002824,DUKE ENERGY-ALLEN STEAM,253 PLANT ALLEN RD,BELMONT,GASTON,35.18819,-81.01127
NONCD0002825,ROBERT EXPRESS,606 LENOIR RHYNE BLVD,HICKORY,CATAWBA,35.72505,-81.32202
NONCD0002826,HAMILTON STREET PROPERTY-B,330 N HAMILTON ST,HIGH POINT,GUILFORD,35.96222,-80.00694
NONCD0002828,TP SHERWOOD LLC PROPERTY,2001 SHERWOOD ST,GREENSBORO,GUILFORD,36.065278,-79.82583
NONCD0002829,TWIN CITY INDUSTRIAL CENTER,800 CHATHAM RD,WINSTON-SALEM,FORSYTH,36.105368,-80.25459
NONCD0002830,"CSX RAILWAY, NORLINA TO LITTLETON",RR TRACK NORLINA TO LITTLETON,,WARREN,36.43581,-78.04515
NONCD0002832,HWY 177 TCE,1061 HWY 177,HAMLET,RICHMOND,34.930641,-79.638485
NONCD0002833,UMICORE CSM NA,17180 AIRPORT RD,MAXTON,SCOTLAND,34.803188,-79.36328
NONCD0002834,BURLINGTON INDUSTRIES,1000 TURNPIKE RD,RAEFORD,HOKE,34.987945,-79.243555
NONCD0002835,PRIME EQUIPMENT CO,1020 N FRONT ST,WILMINGTON,NEW HANOVER,34.24763,-77.94802
NONCD0002836,RABO CLEANERS,701 HOOKER RD,GREENVILLE,PITT,35.59149,-77.38922
NONCD0002837,B & C GROCERY,942 E HARDEN ST,GRAHAM,ALAMANCE,36.0602,-79.38011
NONCD0002838,WACCAMAW TRANSPORT (FORMER),1106 S 2ND ST,WILMINGTON,NEW HANOVER,34.22094,-77.94579
NONCD0002841,GOBLE WELL,444 MCGUIRE ST,GASTONIA,GASTON,35.2718,-81.21674
NONCD0002842,SOUTH COLLEGE RD PCP SPILL,145-147 S COLLEGE RD,WILMINGTON,NEW HANOVER,34.2404,-77.8701
NONCD0002845,CLAWSON RADIATOR (FORMER),108 WEST PARK RD,CHARLOTTE,MECKLENBURG,35.21505,-80.85731
NONCD0002846,HICKORY WIRE (AKA MOSER PROPERTY),1711 11TH AVE SW,HICKORY,CATAWBA,35.72039,-81.36998
NONCD0002850,BUSICK ROAD TCE,BUSICK RD,REIDSVILLE,ROCKINGHAM,36.32623,-79.61999
NONCD0002852,CLAYTON FARMS,1833 LOOP RD,CLAYTON,JOHNSTON,35.67656,-78.42426
NONCD0002853,EATON MANUFACTURING,1100 E PRESTON ST,SELMA,JOHNSTON,35.5253,-78.28336
NONCD0002854,FIBER DYNAMICS,200 SOUTH WEST POINT AVE,HIGH POINT,GUILFORD,35.94637,-80.01763
NONCD0002855,PATTERSON PROPERTY,900 JEFFERSON ST,ROANOKE RAPIDS,HALIFAX,36.45654,-77.65206
NONCD0002857,ABERDEEN FLORIST & GARDEN CENTER,500 S SANDHILLS BLVD,ABERDEEN,MOORE,35.127701,-79.433081
NONCD0002858,DURHAM PUBLIC SERVICE CO PROP (FORMER),309 BLACKWELL ST,DURHAM,DURHAM,35.9931,-78.90354
NONCD0002859,WILCO #301,3610 W WENDOVER AVE,GREENSBORO,GUILFORD,36.06048,-79.86989
NONCD0002860,BREVARD & 4TH STS CONTAMINATION,BREVARD AND 4TH STS,CHARLOTTE,MECKLENBURG,35.22327,-80.84134
NONCD0002863,BABY DIAPER SERVICE,1819 SPRING GARDEN ST,GREENSBORO,GUILFORD,36.06322,-79.82258
NONCD0002865,PIEDMONT TRIAD AIRPORT-AIR CARGO,6415 AIRPORT PKWY,GREENSBORO,GUILFORD,36.10797,-79.94248
NONCD0002866,OMC/BOMBARDIER,1 OMC DRIVE,BURNSVILLE,YANCEY,35.91531,-82.27684
NONCD0002867,ATKINSON ST CONTAMINATION,109 ATKINSON ST,HAMLET,RICHMOND,34.90692,-79.67698
NONCD0002868,STATESVILLE BLVD CONTAMINATION,2620 STATESVILLE BLVD,SALISBURY,ROWAN,35.7,-80.53489
NONCD0002869,NCDOT ASPHALT TESTING SITE #70,HWY 74,LUMBERTON,ROBESON,34.60987,-79.11849
NONCD0002870,RPM NISSAN,3930 CHAPEL HILL BLVD,DURHAM,DURHAM,35.97045,-78.95632
NONCD0002871,UNITED METAL FINISHING,133 BLUE BELL RD,GREENSBORO,GUILFORD,36.02814,-79.78996
NONCD0002872,"WALNUT COVE TIRE CENTER, INC",1293 US HWY 311,WALNUT COVE,STOKES,36.268277,-80.145136
NONCD0002873,NELLO TEER QUARRY-DENFIELD,5013 DENFIELD ST,DURHAM,DURHAM,36.06763,-78.89282
NONCD0002874,MOHAWK-KARASTAN,2007 DICKINSON AVE,GREENVILLE,PITT,35.600587,-77.390456
NONCD0002875,CONTEMPORARY ART MUSEUM,409 W MARTIN ST,RALEIGH,WAKE,35.77692,-78.64568
NONCD0002877,VIRGINIA AVE PCE CONTAMINATION,8TH ST & VIRGINIA AVE,BESSEMER CITY,GASTON,35.28329,-81.27511
NONCD0002878,ROBERTS ST HATCHERY,144 ROBERTS ST,ASHEVILLE,BUNCOMBE,35.58612,-82.56613
NONCD0002879,TAYLOR ROAD WELLS,801 TAYLOR RD,STONEVILLE,ROCKINGHAM,36.48462,-79.89008
NONCD0002880,PATCHES BODY SHOP,1903 E GREEN ST,HIGH POINT,GUILFORD,35.95347,-79.98374
NONCD0002881,ARDEE/TRANSLITE,639 WASHBURN SWITCH RD,SHELBY,CLEVELAND,35.31245,-81.60761
NONCD0002882,NEEDMORE GENERAL STORE,1921 BASS LAKE RD,FUQUAY-VARINA,WAKE,35.628151,-78.78024
NONCD0002883,BIDDLE STREET-1104,1104 BIDDLE ST,NEW BERN,CRAVEN,35.11579,-77.05443
NONCD0002884,KING'S SCOOTERS,501 N 3RD ST,WILMINGTON,NEW HANOVER,34.24145,-77.94703
NONCD0002885,ANNEDEEN HOSIERY BLDG,717 NORTH PARK AVE,BURLINGTON,ALAMANCE,36.10215,-79.4433
NONCD0002887,VOLVO CONSTRUCTION EQUIPMENT (FRMR),2169 HENDERSONVILLE RD,ASHEVILLE,BUNCOMBE,35.47989,-82.52847
NONCD0002890,YARDS AT NODA,400 E 33RD ST,CHARLOTTE,MECKLENBURG,35.24684,-80.81088
NONCD0002891,GOLDSBORO MILLING-MILL #1 & #2,938 MILLERS CHAPEL RD,GOLDSBORO,WAYNE,35.36271,-77.88808
NONCD0002892,MERCHANTS METALS (MMI PRODUCTS),165 FANJOY RD,STATESVILLE,IREDELL,35.76304,-80.8244
NONCD0002894,VFW ROAD CONTAMINATION,VFW ROAD,REIDSVILLE,ROCKINGHAM,36.38448,-79.6463
NONCD0002895,"UNITED SCRAP, INC.",3600 PRIMROSE AVE,CHARLOTTE,MECKLENBURG,35.22133,-80.90779
NONCD0002896,NC DOT BRIDGE #80,BLACK CRK & STATONSBURG RD BRG,FARMVILLE,PITT,35.62493,-77.59282
NONCD0002897,NC DOT BRIDGE #71,BUFFALO CRK & NC96 BRIDGE,SELMA,JOHNSTON,35.62015,-78.29144
NONCD0002898,WOODLEAF & RIDGE PCE,3150 WOODLEAF RD,SALISBURY,ROWAN,35.70948,-80.52531
NONCD0002899,STATELINE SCRAP METAL,5401 SOUTH YORK HWY,GASTONIA,GASTON,35.17417,-81.19542
NONCD0002902,R.L. STOWE MILLS (FRMR CHRONICLE MILLS),96 E CATAWBA ST,BELMONT,GASTON,35.24299,-81.03399
NONCD0002903,ENGINEERED CONTROLS INTERNATIONAL,1239 ROCK CREEK DAIRY RD,WHITSETT,GUILFORD,36.052835,-79.597785
NONCD0002904,ENGINEERED CONTROLS INTERNATIONAL,100 REGO DR,ELON,ALAMANCE,36.10163,-79.51694
NONCD0002906,BRIDGETON HARBOUR MARINA,1101 NORTH B ST,BRIDGETON,CRAVEN,35.1267,-77.02694
NONCD0002907,CHEM-TEX (FRMR) AKA CLASSIC COFFEE,1016 & 1024 MONTANA DR,CHARLOTTE,MECKLENBURG,35.26808,-80.86682
NONCD0002909,PLANTERS CHEMICAL,636 ROBESON ST,FAYETTEVILLE,CUMBERLAND,35.04381,-78.89566
NONCD0002911,ONE HOUR MARTINIZING,2519 HIGH POINT RD,GREENSBORO,GUILFORD,36.054186,-79.83141
NONCD0002912,PRIMROSE AVE PCE CONTAMINATION,2310 OLD STEELE CREEK RD,CHARLOTTE,MECKLENBURG,35.2197,-80.90582
NONCD0002913,WALLACE AIRPORT,250 HENDERSON FIELD RD,WALLACE,PENDER,34.71976,-78.00463
NONCD0002914,HERNDON CHAPEL CHURCH LANE,225&235 HERNDON CHAPEL CHURCH,LINCOLNTON,LINCOLN,35.45715,-81.24462
NONCD0002915,SUTTON PROPERTY,223 E WASHINGTON ST,LA GRANGE,LENOIR,35.30347,-77.78406
NONCD0002916,COASTAL LUMBER,1772 TRUEBLOOD RD,WELDON,HALIFAX,36.40205,-77.61077
NONCD0002917,LANE VENTURE PLANT 14,1405 DEBORAH HERMAN RD,CONOVER,CATAWBA,35.71403,-81.24924
NONCD0002919,ROCKY RIVER RD PCE,3501 N ROCKY RIVER RD,MONROE,UNION,35.05786,-80.59383
NONCD0002920,FCX CHEMICALS (FRMR),KLUMAC RD,SALISBURY,ROWAN,35.65386,-80.48928
NONCD0002921,CHINA GROVE TOWN MAINTENANCE AREA,618 SALISBURY ST,CHINA GROVE,ROWAN,35.5725,-80.57252
NONCD0002922,ANTIOCH FOOD MART,2940 NC 18,MORGANTON,BURKE,35.80966,-81.66166
NONCD0002923,"COOPER TOOLS, LLC",3012 MASON ST,MONROE,UNION,34.98986,-80.48935
NONCD0002924,US $2.50 CLEANERS,7558 HWY 73,DENVER,LINCOLN,35.44344,-80.99208
NONCD0002926,REICH ST PESTICDE-PAH CONTAMINATION,4000 BLOCK REICH ST,WINSTON-SALEM,FORSYTH,36.1385,-80.25888
NONCD0002927,SELLERS SERVICE STATION,7202 DALLAS CHERRYVILLE HWY,CHERRYVILLE,GASTON,35.37375,-81.33417
NONCD0002928,SKYWAY DR PCE,1012 SKYWAY DR,MONROE,UNION,34.9899,-80.54846
NONCD0002929,BRUMLEY AVE NE & CHUCH ST N,BRUMLEY AVE NE & CHURCH ST N,CONCORD,CABARRUS,35.41198,-80.58079
NONCD0002930,ALABAMA AVE PCE,ALABAMA AVE & 11TH ST,BESSEMER CITY,GASTON,35.2828,-81.28312
NONCD0002932,WIX FILTRATION CORP-OZARK PLANT,1301 OZARK AVE,GASTONIA,GASTON,35.26946,-81.16366
NONCD0002933,FAIRCHILD RD SOLVENT-BOWEN BRANCH,1105 FAIRCHILD RD,WINSTON-SALEM,FORSYTH,36.1312,-80.22831
NONCD0002934,BANCROFT ST GROUNDWATER CONTAMINATION,1906 BANCROFT ST,CHARLOTTE,MECKLENBURG,35.24473,-80.82717
NONCD0002935,SPATCO FACILITY,1680 LOWRY ST,WINSTON-SALEM,FORSYTH,36.09351,-80.22215
NONCD0002936,CONCRETE SUPPLY COMPANY,115 AQUADALE DR,ALBERMARLE,STANLY,35.34104,-80.19877
NONCD0002937,I-40 INDUSTRIAL PARK,1640 LOWERY ST,WINSTON-SALEM,FORSYTH,36.09361,-80.22497
NONCD0002941,GRANDE AVE PCE,GRANDE AVE & DICKINSON AVE,GREENVILLE,PITT,35.60733,-77.37999
NONCD0002943,POOLE ROAD PCE,POOLE RD,RALEIGH,WAKE,35.75457,-78.51552
NONCD0002944,PANTRY 385,3420 WICKER ST,SANFORD,LEE,35.47128,-79.21985
NONCD0002945,HANESBRANDS INDUSTRIAL FACILITY,700 SOUTH STRATFORD RD,WINSTON-SALEM,FORSYTH,36.08491,-80.29271
NONCD0002946,APEX VILLAGE,500-610 WILLIAMS ST,APEX,WAKE,35.72389,-78.84764
NONCD0002948,GREEN CROSS DRY CLEANERS,9101 MONROE RD; STE 100,CHARLOTTE,MECKLENBURG,35.147571,-80.744297
NONCD0002949,SCOTLAND COUNTY PRISON (FRMR),22600 WAGRAM RD,WAGRAM,SCOTLAND,34.86889,-79.38494
NONCD0002950,UNIMIN CRYSTAL PLANT,136 CRYSTAL DR,SPRUCE PINE,MITCHELL,35.89775,-82.06137
NONCD0002951,MUDDY WATERS PROPERTY,105 & 125 BATTLESHIP RD,WILMINGTON,NEW HANOVER,34.23324,-77.95242
NONCD0002952,ET'S QUICK STOP,5703 NC HWY 96 WEST,YOUNGSVILLE,FRANKLIN,36.044719,-78.502816
NONCD0002953,CORNELL DUBLIER ELECTRONICS (FRMR),118 E JONES ST,FUQUA-VARINA,WAKE,35.58617,-78.79885
NONCD0002954,WATTS INDUSTRIES,100 WATTS RD,SPINDALE,RUTHERFORD,35.35106,-81.91256
NONCD0002955,ANDREWS AVE SOLVENT RELEASE,172 S ANDREWS AVE,HOT SPRINGS,MADISON,35.8874,-82.82668
NONCD0002956,FIE TOP ROAD SALT SITE,FIE TOP RD,MAGGIE VALLEY,HAYWOOD,35.551143,-83.093779
NONCD0002958,ELIZABETH CITY SHIPYARD,722 RIVERSIDE AVE,ELIZABETH CITY,PASQUOTANK,36.2959,-76.21384
NONCD0002959,MARVE ST TCE CONTAMINATION,908 MARVE ST,GASTONIA,GASTON,35.24927,-81.22796
NONCD0002960,EASTWAY DRIVE & THE PLAZA SOLVENTS,EASTWAY DR & THE PLAZA,CHARLOTTE,MECKLENBURG,35.24927,-80.78074
NONCD0002961,CARTER COIN LAUNDRY & CLEANERS,1018 N 3RD ST,WILMINGTON,NEW HANOVER,34.24797,-77.94724
NONCD0002962,JEFF FOUNTAIN TIRE SALES & SERVICE,4400 OLEANDER DR,WILMINGTON,NEW HANOVER,34.21026,-77.88945
NONCD0002963,CARTER LUMBER,747 OLD HARGRAVE RD,LEXINGTON,DAVIDSON,35.78687,-80.30961
NONCD0002964,1400 BLOCK S MAIN ST SOLVENTS,1400 BLOCK S MAIN ST,WINSTON-SALEM,FORSYTH,36.07849,-80.2403
NONCD0002965,CLASSIC TOYOTA,4513 CHAPEL HILL RD,DURHAM,DURHAM,35.961305,-78.974653
NONCD0002966,HOMETOWN CONVENIENCE L610,8830 E FRANKLIN ST,MT PLEASANT,CABARRUS,35.39671,-80.43195
NONCD0002967,PARRISH PROPERTY-DESOTO TRAIL,3370 BRYSON CITY RD,FRANKLIN,MACON,35.221039,-83.397702
NONCD0002968,TOWN OF EDENTON STREET DEPT,120 W HICKS ST,EDENTON,CHOWAN,36.067639,-76.608306
NONCD0002969,CAPITAL INN,1625 CAPITAL BLVD,RALEIGH,WAKE,35.80211,-78.62181
NONCD0002970,ELLA MILL,1012 S WASHINGTON ST,SHELBY,CLEVELAND,35.27628,-81.54222
NONCD0002971,NEW LEICESTER HWY PCE CONTAMINATION,3161 NEW LEICESTER HWY,LEICESTER,BUNCOMBE,35.658765,-82.72533
NONCD0002972,TRIUMPH ACTUATION SYSTEMS,4520 HAMPTON RD,CLEMMONS,FORSYTH,36.00217,-80.37247
NONCD0002973,TONYS AUTOMOTIVE,2396 N GARNETT ST,HENDERSON,VANCE,36.34964,-78.37933
NONCD0002974,EAST 27TH ST METALS CONTAMINATION,740 E 27TH ST,WINSTON-SALEM,FORSYTH,36.12275,-80.23595
NONCD0002976,PARKWOOD STATION,1721 N CALDWELL ST,CHARLOTTE,MECKLENBURG,35.23681,-80.8215
NONCD0002977,RESINALL CORPORATION,302 WATER ST,SEVERN,NORTHAMPTON,36.51854,-77.18763
NONCD0002979,PRICE-SMITH PROPERTY,6116 HICKORY CREEK RD,HIGH POINT,GUILFORD,35.938235,-79.885465
NONCD0002980,WARREN CLEANERS,127 CHURCH LANE,KENERSVILLE,FORSYTH,36.11985,-80.07198
NONCD0002981,TRI POINT-CAROLINA FREIGHTLINER,3500 YONKERS RD,RALEIGH,WAKE,35.79464,-78.58619
NONCD0002982,TURKEY ROAD PCE,TURKEY RD,KANNAPOLIS,CABARRUS,35.49805,-80.55876
NONCD0002983,WOODLAWN ST-180 BLOCK SOLVENTS,180 BLOCK WOODLAWN ST,BELMONT,GASTON,35.26896,-81.04604
NONCD0002984,HWY 70 W 1100 BLOCK SOLVENTS,US HWY 70 WEST,GARNER,WAKE,35.718846,-78.6368
NONCD0002985,TOTAL AUTO REPAIR & SERVICE,325 ROSMAN HWY,BREVARD,TRANSYLVANIA,35.22301,-82.74115
NONCD0002986,PARKS SUZUKI/PARKS HOLDINGS,2307 & 2309 N MAIN ST,HIGH POINT,GUILFORD,35.98565,-80.02526
NONCD0002987,CMI DRUM CLEANING AREA,200 BLANKET LANE,ELKIN,SURRY,36.250261,-80.84305
NONCD0002988,PEMBROKE FARM HOME & GARDEN,302 W 3RD ST,PEMBROKE,ROBESON,34.681813,-79.195872
NONCD0002989,ANTIQUE WAREHOUSE,1302 AND 1308 W GATE CITY BLVD,GREENSBORO,GUILFORD,36.062933,-79.812272
NONCD0002990,CROWN ACURA,3908 W WENDOVER AVE,GREENSBORO,GUILFORD,36.060611,-79.879043
NONCD0002991,QUARLES PETROLEUM-WEST CRAIGHEAD RD,1509 W CRAIGHEAD RD,CHARLOTTE,MECKLENBURG,35.269411,-80.813217
NONCD0002993,PARKS BLDG SUPPLY/TERMINEX,OWEN DR & ENTERPRISE AVE,FAYETTEVILLE,CUMBERLAND,35.02243,-78.91994
NONCD0002994,CLARKSON STREET CONTAMINATION,908 S CLARKSON ST,CHARLOTTE,MECKLENBURG,35.22749,-80.85843
NONCD0002995,JOHNS MANVILLE LDFL,SKYWAY CHURCH RD,MAXTON,SCOTLAND,34.762357,-79.363264
NONCD0002996,DICEY MILLS,430 NEISLER ST,SHELBY,CLEVELAND,35.28891,-81.5676
NONCD0002997,VANDER SOUTH 115KV SUBSTN,711 JOHN B CARTER RD,FAYETTEVILLE,CUMBERLAND,35.01979,-78.78561
NONCD0002998,WICKER ST NAPHTHALENE,229 WICKER ST,SANFORD,LEE,35.47858,-79.17851
NONCD0002999,PARRIS & N MAIN ST SOLVENTS,2300 BLOCK N MAIN STREET,HIGH POINT,GUILFORD,35.98591,-80.02451
NONCD0003000,REIDSVILLE MCDONALD'S,665 S SCALES ST,REIDSVILLE,ROCKINGHAM,36.35297,-79.66407
NONCD0003001,SMOKEY HOLLOW,WEST AND PEACE STREETS,RALEIGH,WAKE,35.78802,-78.64502
NONCD0003002,DELBURG STREET SOLVENTS,DELBURG ST 200-300 BLOCK,DAVIDSON,MECKLENBURG,35.504069,-80.8486356
NONCD0003003,GATE CITY MOTOR COMPANY,300 N CHURCH ST,GREENSBORO,GUILFORD,36.076087,-79.786294
NONCD0003004,SOUTH GASTON RESIDENTIAL WELL,4804 HEMPHILL RD,GASTONIA,GASTON,35.198635,-81.188568
NONCD0003005,PHILEMON AVE SITE,E CRAIGHEAD RD & PHILEMON AVE,CHARLOTTE,MECKLENBURG,35.25258,-80.80127
NONCD0003006,STORAGE MAX VI,1932 WAKE FOREST RD,RALEIGH,WAKE,35.80705,-78.6243
NONCD0003007,BRAGG BLVD SOLVENTS,BRAGG BLVD,FAYETTEVILLE,CUMBERLAND,35.09627,-78.95569
NONCD0003008,RIVERSIDE DRIVE CONTAMINATION,RIVERSIDE DR,WOODFIN,BUNCOMBE,35.62611,-82.60036
NONCD0003009,A&H CLEANERS,4515 BRAGG BLVD,FAYETTEVILLE,CUMBERLAND,35.08626,-78.95121
NONCD0003010,TRIANGLE RENT-A-CAR,5401 HILLSBOROUGH ST,RALEIGH,WAKE,35.79041,-78.71576
NONCD0003011,DAVIS ACRES LANE,DAVIS ACRES LANE,WINSTON-SALEM,FORSYTH,36.16915,-80.33506
NONCD0003012,"CHADBOURN GOTHAM, INC",JORDAN PL & DAVIDSON ST,CHARLOTTE,MECKLENBURG,35.2435,-80.81298
NONCD0003013,BURK ST SOLVENTS,1020 BURK ST,WINSTON-SALEM,FORSYTH,36.09515,-80.2579
NONCD0003014,CITY OF RALEIGH VEHICLE MAINT.,901 CAPITAL BLVD,RALEIGH,WAKE,35.79351,-78.64209
NONCD0003017,WINNER CHEVROLET,6246 NC 11 SOUTH,AYDEN,PITT,35.47959,-77.43454
NONCD0003018,SOUTH BLOUNT STREET SOLVENTS,S BLOUNT & S PERSON STS,RALEIGH,WAKE,35.77476,-78.6356
NONCD0003020,OLD CHARLOTTE HWY PCE 3600 BLOCK,3600 BLOCK OLD CHARLOTTE HWY,MONROE,UNION,35.027,-80.6025
NONCD0003021,AYDEN DIESEL,3890 JOLLY RD,AYDEN,PITT,35.48898,-77.4287
NONCD0003022,AMETHYST RIDGE DRIVE SOLVENTS,AMETHYST RIDGE DR,RALEIGH,WAKE,35.82407,-78.49847
NONCD0003024,MOLPUS WOODLANDS PLANE CRASH SITE,TOWN CREEK RD,LELAND,BRUNSWICK,34.184817,-78.202578
NONCD0003025,WORLD WOOD PRODUCTS,12045 OLD HWY 70 W,COVE CITY,CRAVEN,35.19743,-77.36875
NONCD0003026,HARRIS & ROGERS TOBACCO SALES,PITT ST,GREENVILLE,PITT,35.61013,-77.37611
NONCD0003028,MARTEL MILL,1990 RIVERSIDE DR,ASHEVILLE,BUNCOMBE,35.63551,-82.59883
NONCD0003029,BLOCK 42,500 N COLLEGE ST,CHARLOTTE,MECKLENBURG,35.22918,-80.83695
NONCD0003030,EAST-WEST CAPITAL,217 COXE AVE,ASHEVILLE,BUNCOMBE,35.58990833,-82.555
NONCD0003031,KINSTON SHIRT FACTORY,501 E CASWELL ST,KINSTON,LENOIR,35.25947,-77.57347
NONCD0003032,SOUTH TRENTON STREET SOLVENTS,SOUTH TRENTON STREET,GASTONIA,GASTON,35.26298,-81.19266
NONCD0003034,NORFOLK SOUTHERN INTERMODAL,325 PARKWOOD AVE,CHARLOTTE,MECKLENBURG,35.2354,-80.82617
NONCD0003035,CAROLINA ASBESTOS CORP,301 DEPOT ST,DAVIDSON,MECKLENBURG,35.50046,-80.850473
NONCD0003036,HOLCOMBE HERBICIDE FIRE,1717 NC HWY 581,PIKEVILLE,WAYNE,35.47803,-78.05692
NONCD0003037,PARRISH TIRE,547 WINSTON ROAD,JONESVILLE,YADKIN,36.240897,-80.833714
NONCD0003038,AVERETTE ROAD SOLVENTS,900 AVERETTE ROAD,WAKE FOREST,WAKE,35.94863,-78.45447
NONCD0003039,MODERN INFINITI,1500 PETERS CREEK PKWY,WINSTON-SALEM,FORSYTH,36.072158,-80.259028
NONCD0003040,GOODYEAR 2056,2088 STONE ROSE DRIVE,ROCKY MOUNT,NASH,35.95948,-77.82122
NONCD0003041,MODERN GARBAGE SERVICE,4102 W WENDOVER,GREENSBORO,GUILFORD,36.06018,-79.88422
NONCD0003042,BALFOUR BP,1553 N FAYETTEVILLE ST,ASHEBORO,RANDOLPH,35.73942,-79.80867
NONCD0003044,PERFECTION DRY CLEANER & LAUNDRY,1423 E 4TH ST,CHARLOTTE,MECKLENBURG,35.21433,-80.82905
NONCD0003045,STERLING COTTON MILL,106 E GREEN ST,FRANKLINTON,FRANKLIN,36.09989,-78.4569
NONCD0003046,MOYOCK MUSCLE,CARATOKE HWY,MOYOCK,CURRITUCK,36.53269,-76.18375
NONCD0003047,MOUNT HOLLY STEAM STATION (FRMR),599 AMERICAN ST,MOUNT HOLLY,GASTON,35.29079,-81.00955
NONCD0003049,NCDOT-1301 BLUE RIDGE RD,1301 BLUE RIDGE RD,RALEIGH,WAKE,35.79869,-78.70859
NONCD0003050,VALLEY MOTORS,3203 BRAGG BLVD,FAYETTEVILLE,CUMBERLAND,35.075579,-78.932532
NONCD0003051,SWAIM METALS,414 BERKLEY ST,HIGH POINT,RANDOLPH,35.92005,-80.04071
NONCD0003052,TOWNSEND & MCCRARY,1101 AND 1200 E THIRD ST,SILER CITY,CHATHAM,35.73039,-79.44881
NONCD0003053,FLYNT FABRICS MILL,202 S NASH ST,HILLSBOROUGH,ORANGE,36.07323,-79.11195
NONCD0003054,BROMMA INC,2285 DURHAM RD,ROXBORO,PERSON,36.36357,-78.98187
NONCD0003055,UNX PROPERTY,200 W 9TH ST,GREENVILLE,PITT,35.60784,-77.37513
NONCD0003056,BRADLEY ST SOLVENTS,704 BRADLEY ST,BURLINGTON,ALAMANCE,36.07022,-79.43129
NONCD0003058,ARLINGTON STREET CONTAMINATION,1109 ARLINGTON ST,GREENSBORO,GUILFORD,36.05712,-79.78974
NONCD0003059,EAST LINCOLN FIRE STATION (FRMR),7654 NC HWY 73,STANLEY,LINCOLN,35.21691,-80.78717
NONCD0003060,CORNELIUS ARTS CENTER,21328 - 21348 CATAWBA AVE,CORNELIUS,MECKLENBURG,35.48139,-80.86059
NONCD0003061,URETHANE INNOVATORS INC,403 INDUSTRIAL DR,NEW BERN,CRAVEN,35.140917,-77.157119
NONCD0003062,SEPRO RESEARCH AND TECH CAMPUS,16013 WATSON SEED FARM RD,WHITAKERS,NASH,36.12398,-77.73541
NONCD0003063,MCNEILS GROCERY,2237 OLD US HWY 1,APEX,WAKE,35.698695,-78.89902
NONCD0003064,EXXON WOOSTER ST FRMR,315 WOOSTER ST,WILMINGTON,NEW HANOVER,34.225787,-77.944508
NONCD0003065,PANTRY 219,1413 BROADWAY,SANFORD,LEE,35.45984,-79.11093
NONCD0003066,YADKIN RD CIRCLE K,6489 YADKIN RD,FAYETTEVILLE,CUMBERLAND,35.105118,-78.995182
NONCD0003067,LEITH CHRYSLER JEEP,5500 CAPITAL BLVD,RALEIGH,WAKE,35.86075,-78.57925
NONCD0003068,EXXON GAS STATION FRMR,51 MERRIMON AVE,ASHEVILLE,BUNCOMBE,35.600836,-82.553348
NONCD0003069,KALE BINDEX INC,HAWKINS AND DOGGETT STREETS,CHARLOTTE,MECKLENBURG,35.21137,-80.86149
NONCD0003070,MCDOWELL ST SOLVENTS,3 MCDOWELL ST,ASHEVILLE,BUNCOMBE,35.58458,-82.55587
NONCD0003073,BOB KING PONTIAC,5115 NEW CENTRE DR,WILMINGTON,NEW HANOVER,34.23867,-77.87464
NONCD0003074,R AND R CLEANERS,3601 S TRYON ST,CHARLOTTE,MECKLENBURG,35.19394,-80.87815
NONCD0003075,BEATTIES FORD RD PCE CONTAMINATION,BEATTIES FORD RD,CHARLOTTE,MECKLENBURG,35.32199,-80.86551
NONCD0003076,NORTH LIBERTY ST SOLVENTS 1100 BLK,1100 BLK NORTH LIBERTY ST,WINSTON-SALEM,FORSYTH,36.10852,-80.23624
NONCD0003077,PHOENIX 308 TRAVEL CENTER,13493 NC HWY 210,ROCKY POINT,PENDER,34.439803,-77.877335
NONCD0003078,NORTH PATTERSON AVE SOLVENTS 3500 BLK,3591 N PATTERSON AVE,WINSTON-SALEM,FORSYTH,36.13572,-80.24241
NONCD0003079,KINDER MORGAN SELMA SPILL,2200 W OAK ST,SELMA,JOHNSTON,35.552929,-78.305503
NONCD0003080,CAROLINA PINES AVE CONTAMINATION,405 CAROLINA PINES AVE,RALEIGH,WAKE,35.74866,-78.65022
